"EventType"
"key","code","eventCategory","name","note",
"96","LDLCholestrol","null","LDL Cholestrol","LDL Cholestrol",
"159","LifestyleChoicesComp","null","LifestyleChoicesComp","Completion of the Lifestyle Choices Section of the VNA",
"140","LifestyleComp","null","Completion of the Lifestyle Section of the VHR","Completion of the Lifestyle Section of the VHR",
"162","LipidRatioCalculated","null","Lipid Ratio Calculated","Lipid Ratio Calculated",
"111","LiverCancer","null","Liver Cancer","Liver Cancer",
"4","LoginFailure","null","Member failed to login","Member failed to login",
"3","LoginSuccess","null","Member login successfully","Member login successfully",
"1","LoginTandCAgree","null","Login Terms and Conditions Agree","Login Terms and Conditions Agree",
"2","LoginTandCDisagree","null","Login Terms and Conditions Disagree","Login Terms and Conditions Disagree",
"108","LungCancer","null","Lung Cancer","Lung Cancer",
"20","MWBAssmntCompleted","null","Mental Wellbeing Assessment Completed","Mental Wellbeing Assessment Completed",
"177","MWBDataSharingAgree
","null","MWBDataSharingAgree","Mental Wellbeing Assessment Data Sharing Consent Agree",
"125","Mammogram","null","Mammogram Screening","Mammogram Screening",
"37","ManageFriends","null","Manage Friends","Manage Friends",
"55","ManualPointsAlloctn","null","Manual Points Allocation","Manual Points Allocation",
"35","MarketingOptOut","null","Marketing Opt Out","Marketing Opt Out",
"131","MeasuredFitComplete","null","Measured Fitness","Measured Fitness",
"77","Medicallyfitagree","null","Medically Fit agree","Medically Fit agree",
"78","Medicallyfitdisagree","null","Medically Fit disagree","Medically Fit disagree",
"34","MemberProfileUpdate","null","Member Profile Update","Member Profile Update",
"53","MembershipDowngrade","null","Membership Downgrade","Membership Downgrade",
"146","MembershipReinstate","null","Vitality Membership Reinstate","Vitality Membership Reinstate",
"66","MembershipRenew","null","Membership Renew","Membership Renew",
"57","MembershipUnSuspnsn","null","Membership Un-Suspension","Membership Un-Suspension",
"52","MembershipUpgrade","null","Membership Upgrade","Membership Upgrade",
"65","MembershipWelcome","null","Membership Welcome","Membership Welcome",
"118","MeningCococcal","null","Mening Cococcal","Mening Cococcal",
"38","MessageFriends","null","Message Friends","Message Friends",
"47","NonsmokersDatAgr","null","Non-smokers Declaration Data privacy agree","Non-smokers Declaration Data privacy agree",
"46","NonsmokersDeclrtn","null","Non-smokers Declaration","Non-smokers Declaration",
"68","NotifMembCanceltns","null","Membership Cancellations","Membership Cancellations",
"67","NotifMembSuspnsn","null","Membership Suspension","Membership Suspension",
"29","NotificationResend","null","Notification Resend","Notification Resend",
"136","Nutrition ","null","Nutrition","Nutrition",
"50","NutritionGoals","null","Nutrition Goals","Nutrition Goals",
"156","OFE","null","Organised Fitness Event","Organised Fitness Event",
"197","OisixAgree","null","Member Agrees to Oisix Data Sharing Popup","Member Agrees to Oisix Data Sharing Popup",
"198","OisixDisagree","null","Member Disagrees to Oisix Data Sharing Popup","Member Disagrees to Oisix Data Sharing Popup",
"130","OnlineVNA","null","Online Vitality Nutrition Assessment","Online Vitality Nutrition Assessment",
"110","OvarianCancer","null","Ovarian Cancer","Ovarian Cancer",
"100","PapSmear","null","Pap Smear captured","Pap Smear captured",
"36","PaymentNotification","null","Payment Notification","Payment Notification",
"21","PhysicalActivities","null","Physical Activities","Physical Activities",
"115","Pneumococcal","null","Pneumococcal","Pneumococcal",
"63","Points","null","Points","Points",
"179","PolarAgree","null","Member Agrees to Polar Data Sharing Popup","Member Agrees to Polar Data Sharing Popup",
"180","PolarDisagree","null","Member Disagrees to Polar Data Sharing Popup","Member Disagrees to Polar Data Sharing Popup",
"41","PrivacySetting","null","Privacy Setting","Privacy Setting",
"126","ProstateExam","null","Prostate Exam","Prostate Exam",
"175","PsychologicalAssComp
","null","PsychologicalAssComp","Completion of the Psychological Assessment Section of the MWB",
"27","PushNotification","null","Push Notification","Push Notification",
"91","RandomGlucose","null","Random Blood Glucose captured","Random Blood Glucose captured",
"5","RegFailEmailInsrCd","null","Registration Failed due to Incorrect Email or Insurer Code","Registration Failed due to Incorrect Email or Insurer Code",
"6","RegistrationSuccess","null","Member registered successfully","Member registered successfully",
"83","ReinstateVMembership","null","Reinstate Vitality Membership","Reinstate Vitality Membership",
"137","Remark","null","This is a comment that can be added in VSP to a member profile","This is a comment that can be added in VSP to a member profile",
"195","RenaissanceAgree","null","Member Agrees to Renaissance Data Sharing Popup","Member Agrees to Renaissance Data Sharing Popup",
"196","RenaissanceDisagree","null","Member Disagrees to Renaissance Data Sharing Popup","Member Disagrees to Renaissance Data Sharing Popup",
"14","RewardAchieved","null","Reward Achieved","Reward Achieved",
"165","RewardAcknowledged","null","Reward Acknowledged","Reward Acknowledged",
"169","RewardAllocated","null","Reward Allocated","Reward Allocated",
"171","RewardCanceled","null","Reward Canceled","Reward Canceled",
"207","RewardDSAgree","null","Reward Data Sharing Agree","Reward Data Sharing Agree",
"208","RewardDSDisagree","null","Reward Data Sharing Disagree","Reward Data Sharing Disagree",
"16","RewardExpired","null","Reward Expired","Reward Expired",
"167","RewardIssued","null","Reward Issued","Reward Issued",
"61","RewardNotification","null","Reward Notification","Reward Notification",
"209","RewardPartnerRegistration","null","Reward Partner Registration","Reward Partner Registration",
"178","RewardPointsAwarded","null","Reward Points Awarded","Points to be Awarded for a Reward that is Awarded",
"210","RewardRedeemAvailable","null","Reward Redeem Available","Reward Redeem Available",
"15","RewardRedeemed","null","Reward Redeemed","Reward Redeemed",
"173","RewardUsed","null","Reward Used","Reward Used",
"123","SVDataPrivacyAgree","null","Data Privacy for Screenings and Vaccinations has been agreed to","Data Privacy for Screenings and Vaccinations has been agreed to",
"122","ScreenVaccsComplete","null","Screenings and Vaccinations completed","Screenings and Vaccinations completed",
"211","ScreenVaccsDSAgree","null","Member Agrees to Screening and Vaccinations Data Sharing Agree","Member Agrees to Screening and Vaccinations Data Sharing Agree",
"33","ShippingNotification","null","Shipping Notification","Shipping Notification",
"107","SkinCancer","null","Skin Cancer","Skin Cancer",
"64","SmokefreeTXT","null","Smokefree TXT","Smokefree TXT",
"176","SocialAssComp
","null","SocialAssComp","Completion of the Psychological Assessment Section of the MWB",
"139","SocialHabitsComp","null","Completion of the Social Habits Section of the VHR","Completion of the Social Habits Section of the VHR",
"191","SoftbankAgree","null","Member Agrees to Softbank Data Sharing Popup","Member Agrees to Softbank Data Sharing Popup",
"192","SoftbankDisagree","null","Member Disagrees to Softbank Data Sharing Popup","Member Disagrees to Softbank Data Sharing Popup",
"58","SpecialOffersAndProm","null","Special Offers / Promotions","Special Offers / Promotions",
"42","StatusUpdated","null","Status Updated","Status Updated",
"49","StreakReward","null","Streak Reward","Streak Reward",
"174","StressorAssComp","null","StressorAssComp","Completion of the Stressor Assessment Section of the MWB",
"22","SupportTicketLogged","null","Support Ticket Logged","Support Ticket Logged",
"92","SystolicPressure","null","Systolic Blood Pressure captured","Systolic Blood Pressure captured",
"59","TandCAcceptance","null","Terms And Conditions Acceptance","Terms And Conditions Acceptance",
"23","TechnicalErrors","null","Technical Errors","Technical Errors",
"94","TotCholesterol","null","Total Cholestrol","Total Cholestrol",
"97","TriGlycCholesterol","null","Triglycerides cholesterol","Triglycerides cholesterol",
"40","UnblockFriends","null","Unblock Friends","Unblock Friends",
"85","UpdateEntity","null","Update Entity","Update Entity",
"84","UpdateMembershipProd","null","Update Membership Product","Update Membership Product",
"133","UpdateParty","null","Update an existing Party","Update an existing Party",
"144","UrinaryTest","null","Urine test completed","Urine test completed",
"145","UrinaryTestAss","null","Urine test completed","Urine test completed",
"18","VHCAssmntCompleted","null","VHC Assessment Completed","VHC Assessment Completed",
"120","VHCDataPrivacyAgree","null","Data Privacy for VHC has been agreed to","Data Privacy for VHC has been agreed to",
"17","VHRAssmntCompleted","null","VHR Assessment Completed","VHR Assessment Completed",
"141","VHRDataPrivacyAgree","null","VHR Data and Privacy Policy has been agreed to","VHR Data and Privacy Policy has been agreed to",
"155","VHRDisclaimer","null","VHR Disclaimer","VHR Disclaimer",
"19","VNAAssmntCompleted","null","Nutrition Assessment Completed","Nutrition Assessment Completed",
"158","VNADataSharingAgree","null","VNADataSharingAgree","Vitality Nutrition Assessment Data Sharing Consent Agree",
"201","VanillaAgree","null","Member Agrees to Vanilla Air Data Sharing Popup","Member Agrees to Vanilla Air Data Sharing Popup",
"202","VanillaDisagree","null","Member Disagrees to Vanilla Air Data Sharing Popup","Member Disagrees to Vanilla Air Data Sharing Popup",
"129","VitNutriAssessment","null","Vitality Nutrition Assessment with a dietician","Vitality Nutrition Assessment with a dietician",
"69","VitalityAge","null","Vitality Age","Vitality Age",
"124","VitalityStatusChange","null","Vitality status has changed","Vitality status has changed",
"89","WaistCircum","null","Waist Circumference captured","Waist Circumference captured",
"31","WatchPayment","null","(Watch) Payment","(Watch) Payment",
"30","WatchPurchase","null","(Watch) Purchase","(Watch) Purchase",
"88","WeightCaptured","null","Weight captured","Weight captured",
"128","WeightLossPartner","null","Weight loss partner - Registration","Weight loss partner - Registration",
"187","YodabashiAgree","null","Member Agrees to Yodabashi Data Sharing Popup","Member Agrees to Yodabashi Data Sharing Popup",
"188","YodahashiDisagree","null","Member Disagrees to Yodabashi Data Sharing Popup","Member Disagrees to Yodabashi Data Sharing Popup",
"116","Zoster","null","Zoster","Zoster",
