"Question"
"key","code","name","note","questionType",
"234","CarAccidentPersonaly","CarAccidentPersonaly","CarAccidentPersonaly","null",
"45","CholesterolDrugUse","CholesterolDrugUse","CholesterolDrugUse","null",
"46","CholesterolMedCare","CholesterolMedCare","CholesterolMedCare","null",
"44","CholesterolQuestion","CholesterolQuestion","CholesterolQuestion","null",
"26","ChronicpainDrugUse","ChronicpainDrugUse","ChronicpainDrugUse","null",
"27","ChronicpainMedCare","ChronicpainMedCare","ChronicpainMedCare","null",
"25","ChronicpainQuestion","ChronicpainQuestion","ChronicpainQuestion","null",
"197","CloseFriend","CloseFriend","CloseFriend","null",
"233","CloseFriendPersonaly","CloseFriendPersonaly","CloseFriendPersonaly","null",
"174","DYAllergiesIntol","DYAllergiesIntol","DYAllergiesIntol","null",
"176","DYMilkYoghurt","DYMilkYoghurt","DYMilkYoghurt","null",
"194","DemandsOnTime","DemandsOnTime","DemandsOnTime","null",
"195","DemandsTimeProblem","DemandsTimeProblem","DemandsTimeProblem","null",
"128","Depressed","Depressed","Depressed","null",
"29","DepressionDrugUse","DepressionDrugUse","DepressionDrugUse","null",
"30","DepressionMedCare","DepressionMedCare","DepressionMedCare","null",
"28","DepressionQuestion","DepressionQuestion","DepressionQuestion","null",
"32","DiabetesDYK","DiabetesDYK","DiabetesDYK","null",
"33","DiabetesDrugUse","DiabetesDrugUse","DiabetesDrugUse","null",
"34","DiabetesMedCare","DiabetesMedCare","DiabetesMedCare","null",
"31","DiabetesQuestion","DiabetesQuestion","DiabetesQuestion","null",
"73","DiastolicQuestion","DiastolicQuestion","DiastolicQuestion","null",
"152","EatHabbits","EatHabbits","EatHabbits","null",
"84","Ecigarettes","Ecigarettes","Ecigarettes","null",
"2","EmailAddress","EmailAddress","EmailAddress","null",
"218","EmotionalHelpFamily","EmotionalHelpFamily","EmotionalHelpFamily","null",
"207","EnergeticPastMonth","EnergeticPastMonth","EnergeticPastMonth","null",
"129","EverythingEffort","EverythingEffort","EverythingEffort","null",
"111","ExerciseDaysPerWeek","ExerciseDaysPerWeek","ExerciseDaysPerWeek","null",
"119","ExerciseHabits","ExerciseHabits","ExerciseHabits","null",
"113","ExerciseIntensity","ExerciseIntensity","ExerciseIntensity","null",
"217","FamilyHelp","FamilyHelp","FamilyHelp","null",
"225","FamilyHelpDecisions","FamilyHelpDecisions","FamilyHelpDecisions","null",
"66","FamilyMedicalCond","FamilyMedicalCond","FamilyMedicalCond","null",
"185","FamilyProblem","FamilyProblem","FamilyProblem","null",
"222","FamilyProblems","FamilyProblems","FamilyProblems","null",
"226","FamilyTalkProblems","FamilyTalkProblems","FamilyTalkProblems","null",
"166","FastFoodConsump","FastFoodConsump","FastFoodConsump","null",
"145","FastingGlucose","FastingGlucose","FastingGlucose","null",
"146","FastingGlucoseDYK","FastingGlucoseDYK","FastingGlucoseDYK","null",
"147","FastingGlucoseQ","FastingGlucoseQ","FastingGlucoseQ","null",
"70","FeelCurrentWeight","FeelCurrentWeight","FeelCurrentWeight","null",
"110","FeelDiet","FeelDiet","FeelDiet","null",
"159","FibreConsumption","FibreConsumption","FibreConsumption","null",
"98","FiveOrMoreDrinks","FiveOrMoreDrinks","FiveOrMoreDrinks","null",
"115","FlexibilityExercise","FlexibilityExercise","FlexibilityExercise","null",
"182","FoodPrep","FoodPrep","FoodPrep","null",
"148","FoodPrepReason","FoodPrepReason","FoodPrepReason","null",
"221","FriendsCountOn","FriendsCountOn","FriendsCountOn","null",
"223","FriendsHappySad","FriendsHappySad","FriendsHappySad","null",
"220","FriendsHelp","FriendsHelp","FriendsHelp","null",
"100","FruitConsumption","FruitConsumption","FruitConsumption","null",
"4","Gender","Gender","Gender","null",
"5","GeneralHealthQ","GeneralHealthQ","GeneralHealthQ","null",
"181","GroceryShopping","GroceryShopping","GroceryShopping","null",
"142","HDLCholesterol","HDLCholesterol","HDLCholesterol","null",
"82","HDLCholesterolDYK","HDLCholesterolDYK","HDLCholesterolDYK","null",
"81","HDLCholesterolQ","HDLCholesterolQ","HDLCholesterolQ","null",
"77","HbA1cDYK","HbA1cDYK","HbA1cDYK","null",
"246","HbA1cQ","HbA1cQ","HbA1cQ","null",
"76","HbA1cQuestion","HbA1cQuestion","HbA1cQuestion","null",
"189","HealthProbLong","HealthProbLong","HealthProbLong","null",
"188","HealthProblems","HealthProblems","HealthProblems","null",
"36","HeartburnDrugUse","HeartburnDrugUse","HeartburnDrugUse","null",
"37","HeartburnMedCare","HeartburnMedCare","HeartburnMedCare","null",
"35","HeartburnQuestion","HeartburnQuestion","HeartburnQuestion","null",
"39","HeartdiseaseDrugUse","HeartdiseaseDrugUse","HeartdiseaseDrugUse","null",
"40","HeartdiseaseMedCare","HeartdiseaseMedCare","HeartdiseaseMedCare","null",
"38","HeartdiseaseQuestion","HeartdiseaseQuestion","HeartdiseaseQuestion","null",
"67","Height","Height","Height","null",
"107","HighFatConsumption","HighFatConsumption","HighFatConsumption","null",
"102","HighFatCook","HighFatCook","HighFatCook","null",
"162","HighProcessed","HighProcessed","HighProcessed","null",
"161","HighSodium","HighSodium","HighSodium","null",
"229","HomeChild","HomeChild","HomeChild","null",
"230","HomeChildProblem","HomeChildProblem","HomeChildProblem","null",
"125","Hopeless","Hopeless","Hopeless","null",
"210","HopelessPastMonth","HopelessPastMonth","HopelessPastMonth","null",
"204","HowHappyPastMonth","HowHappyPastMonth","HowHappyPastMonth","null",
"228","HowLongProb","HowLongProb","HowLongProb","null",
"196","ImmediateFamily","ImmediateFamily","ImmediateFamily","null",
"178","InfluenenceFood","InfluenenceFood","InfluenenceFood","null",
"227","JobWork","JobWork","JobWork","null",
"138","LDLCholesterol","LDLCholesterol","LDLCholesterol","null",
"139","LDLCholesterolDYK","LDLCholesterolDYK","LDLCholesterolDYK","null",
"79","LDLCholesterolQ","LDLCholesterolQ","LDLCholesterolQ","null",
"168","LeanMeat","LeanMeat","LeanMeat","null",
"105","LeanMeats","LeanMeats","LeanMeats","null",
"235","LifeDisastPersonally","LifeDisastPersonally","LifeDisastPersonally","null",
"211","LifeInteresting","LifeInteresting","LifeInteresting","null",
"199","LifeThreatDisaster","LifeThreatDisaster","LifeThreatDisaster","null",
"106","LowFatDairy","LowFatDairy","LowFatDairy","null",
"154","Lunch","Lunch","Lunch","null",
"6","MedicalHistoryQ","MedicalHistoryQ","MedicalHistoryQ","null",
"48","MenopauseDrugUse","MenopauseDrugUse","MenopauseDrugUse","null",
"49","MenopauseMedCare","MenopauseMedCare","MenopauseMedCare","null",
"47","MenopauseQuestion","MenopauseQuestion","MenopauseQuestion","null",
"51","MigraineHDrugUse","MigraineHDrugUse","MigraineHDrugUse","null",
"52","MigraineHMedCare","MigraineHMedCare","MigraineHMedCare","null",
"50","MigraineHQuestion","MigraineHQuestion","MigraineHQuestion","null",
"165","MilkConsump","MilkConsump","MilkConsump","null",
"205","MoodLowPastMonth","MoodLowPastMonth","MoodLowPastMonth","null",
"1","Name","Name","Name","null",
"123","Nervous","Nervous","Nervous","null",
"124","NervousNoCalm","NervousNoCalm","NervousNoCalm","null",
"206","NervousPastMonth","NervousPastMonth","NervousPastMonth","null",
"143","NoRelevantDQuestion","NoRelevantDQuestion","NoRelevantDQuestion","null",
"171","NutOilConsump","NutOilConsump","NutOilConsump","null",
"169","Omega3","Omega3","Omega3","null",
"214","OptimisticPastMonth","OptimisticPastMonth","OptimisticPastMonth","null",
"54","OsteoporosisDrugUse","OsteoporosisDrugUse","OsteoporosisDrugUse","null",
"55","OsteoporosisMedCare","OsteoporosisMedCare","OsteoporosisMedCare","null",
"53","OsteoporosisQuestion","OsteoporosisQuestion","OsteoporosisQuestion","null",
"175","OtherAllergiesIntol","OtherAllergiesIntol","OtherAllergiesIntol","null",
"201","OtherSeriousEvent","OtherSeriousEvent","OtherSeriousEvent","null",
"132","PerceiveStress","PerceiveStress","PerceiveStress","null",
"65","PregnantDYK","PregnantDYK","PregnantDYK","null",
"177","PrepareFoodOther","PrepareFoodOther","PrepareFoodOther","null",
"150","PreparedFood","PreparedFood","PreparedFood","null",
"85","PrevTobaccoProducts","PrevTobaccoProducts","PrevTobaccoProducts","null",
"167","ProcessedMeat","ProcessedMeat","ProcessedMeat","null",
"75","RandomGlucose","RandomGlucose","RandomGlucose","null",
"135","RandomGlucoseDYK","RandomGlucoseDYK","RandomGlucoseDYK","null",
"74","RandomGlucoseQuest","RandomGlucoseQuest","RandomGlucoseQuest","null",
"184","RelationshipFamily","RelationshipFamily","RelationshipFamily","null",
"231","RelationshipPartner","RelationshipPartner","RelationshipPartner","null",
"232","RelationshipProblem","RelationshipProblem","RelationshipProblem","null",
"126","Restless","Restless","Restless","null",
"130","Sad","Sad","Sad","null",
"208","SadPastMonth","SadPastMonth","SadPastMonth","null",
"160","Salt","Salt","Salt","null",
"103","SaltConsumption","SaltConsumption","SaltConsumption","null",
"104","SaltyFood","SaltyFood","SaltyFood","null",
"193","SecurityProblem","SecurityProblem","SecurityProblem","null",
"172","SeedOilConsump","SeedOilConsump","SeedOilConsump","null",
"237","SeriousEventPersonly","SeriousEventPersonly","SeriousEventPersonly","null",
"127","SitStill","SitStill","SitStill","null",
"57","SleepDDrugUse","SleepDDrugUse","SleepDDrugUse","null",
"58","SleepDMedCare","SleepDMedCare","SleepDMedCare","null",
"56","SleepDQuestion","SleepDQuestion","SleepDQuestion","null",
"120","SleepDifficulty","SleepDifficulty","SleepDifficulty","null",
"91","SmokingHabbits","SmokingHabbits","SmokingHabbits","null",
"156","Snack","Snack","Snack","null",
"186","SocialLifeContact","SocialLifeContact","SocialLifeContact","null",
"187","SocialProblem","SocialProblem","SocialProblem","null",
"215","SpecialPersonAround","SpecialPersonAround","SpecialPersonAround","null",
"219","SpecialPersonComfort","SpecialPersonComfort","SpecialPersonComfort","null",
"224","SpecialPersonFeeling","SpecialPersonFeeling","SpecialPersonFeeling","null",
"216","SpecialPersonHappy","SpecialPersonHappy","SpecialPersonHappy","null",
"114","StrengthExercise","StrengthExercise","StrengthExercise","null",
"60","StrokeDrugUse","StrokeDrugUse","StrokeDrugUse","null",
"61","StrokeMedCare","StrokeMedCare","StrokeMedCare","null",
"59","StrokeQuestion","StrokeQuestion","StrokeQuestion","null",
"108","SugarBeverage","SugarBeverage","SugarBeverage","null",
"109","SugarTeaCoffee","SugarTeaCoffee","SugarTeaCoffee","null",
"163","SugaryFoods","SugaryFoods","SugaryFoods","null",
"155","Supper","Supper","Supper","null",
"72","SystolicQuestion","SystolicQuestion","SystolicQuestion","null",
"209","TenseWorryPastMonth","TenseWorryPastMonth","TenseWorryPastMonth","null",
"63","ThyroidDDrugUse","ThyroidDDrugUse","ThyroidDDrugUse","null",
"64","ThyroidDMedCare","ThyroidDMedCare","ThyroidDMedCare","null",
"62","ThyroidDQuestion","ThyroidDQuestion","ThyroidDQuestion","null",
"122","TiredMonth","TiredMonth","TiredMonth","null",
"83","TobaccoProducts","TobaccoProducts","TobaccoProducts","null",
"88","TobaccoProductsUsed","TobaccoProductsUsed","TobaccoProductsUsed","null",
"136","TotalCholesterol","TotalCholesterol","TotalCholesterol","null",
"137","TotalCholesterolDYK","TotalCholesterolDYK","TotalCholesterolDYK","null",
"78","TotalCholesterolQ","TotalCholesterolQ","TotalCholesterolQ","null",
"164","TotalSugar","TotalSugar","TotalSugar","null",
"140","Triglyceride","Triglyceride","Triglyceride","null",
"141","TriglycerideDYK","TriglycerideDYK","TriglycerideDYK","null",
"80","TriglycerideLevel","TriglycerideLevel","TriglycerideLevel","null",
"144","UrineProtein","UrineProtein","UrineProtein","null",
"245","UrineProteinQ","UrineProteinQ","UrineProteinQ","null",
"173","VegAvoid","VegetarianAvoid ","VegetarianAvoid ","null",
"179","VegDiet","VegDiet","VegDiet","null",
"99","VegetableConsumption","VegetableConsumption","VegetableConsumption","null",
"200","VictimViolentCrime","VictimViolentCrime","VictimViolentCrime","null",
"236","ViolentCrimePersonly","ViolentCrimePersonly","ViolentCrimePersonly","null",
"151","VitMinSupp","VitMinSupp","VitMinSupp","null",
"69","WaistMeasurement","WaistMeasurement","WaistMeasurement","null",
"133","WaistMeasurementDYK","WaistMeasurementDYK","WaistMeasurementDYK","null",
"149","WeekVsWeekend","WeekVsWeekend","WeekVsWeekend","null",
"68","Weight","Weight","Weight","null",
"158","WhatSnack","WhatSnack","WhatSnack","null",
"157","WhenSnacking","WhenSnacking","WhenSnacking","null",
"203","WholeAffectPersonaly","WholeAffectPersonaly","WholeAffectPersonaly","null",
"101","WholegrainConsump","WholegrainConsump","WholegrainConsump","null",
"190","WorkLifeBalance","WorkLifeBalance","WorkLifeBalance","null",
"191","WorkLifeProblem","WorkLifeProblem","WorkLifeProblem","null",
"131","Worthless","Worthless","Worthless","null",
"86","YearsSmokeFree","YearsSmokeFree","YearsSmokeFree","null",
"90","YearsSmoking","YearsSmoking","YearsSmoking","null",
"192","YouFamilySafetySec","YouFamilySafetySec","YouFamilySafetySec","null",
